person_id,name,legal_balls,cricinfo_id,bowling_style,source
9f77963a,Gulbadin Naib,6,352048,pace,web
7c390b03,RA Shaikh,6,279460,pace,web-search
77255a9e,RA Tripathi,6,446763,pace,web
c96f6ac5,PWA Mulder,6,698189,pace,web
943fd425,I Malhotra,6,31088,pace,web
d872f52a,LA Carseldine,6,4541,pace,web
378daa89,Aman Hakim Khan,6,1254269,pace,web
27af6414,BJ Rohrer,6,7547,pace,web
1be70c88,LPC Silva,6,50431,spin,web
62175638,Karim Janat,6,793467,pace,web
9ff100a6,RS Gavaskar,6,28792,spin,web
5451a2c1,B Chipli,6,27685,pace,web
