franchise_season_id,squad,person_id,name,matches,stumpings,catches,catch_rank,balls_bowled,keeper_elsewhere,cricinfo_id,kept
22,2013 Chennai Super Kings,4a8a2e3b,MS Dhoni,17,2,15,1,0,y,28081,y
22,2013 Chennai Super Kings,48fd7349,MEK Hussey,17,0,10,2,0,,5939,
22,2013 Chennai Super Kings,4b57e452,M Vijay,15,0,8,3,0,,237095,
22,2013 Chennai Super Kings,fe11caa6,WP Saha,3,0,0,,0,y,279810,
44,2013 Delhi Daredevils,99d63244,KM Jadhav,11,2,4,3,0,y,290716,y
44,2013 Delhi Daredevils,dcce6f09,DA Warner,16,0,6,1,0,,219889,
44,2013 Delhi Daredevils,d18f9182,DPMD Jayawardene,15,0,4,2,0,,49289,
44,2013 Delhi Daredevils,890946a0,NV Ojha,2,0,1,5,0,y,32102,
44,2013 Delhi Daredevils,30a2649b,CM Gautam,3,0,0,,0,y,302208,
117,2013 Kings XI Punjab,6eb146d2,Gurkeerat Singh,11,1,4,3,0,,537124,y
117,2013 Kings XI Punjab,d67d5f00,DA Miller,12,0,8,1,0,,321777,
117,2013 Kings XI Punjab,c3a96caf,Mandeep Singh,15,0,6,2,0,,398506,
117,2013 Kings XI Punjab,2b6e6dec,AC Gilchrist,13,0,12,,1,y,5390,
71,2013 Kolkata Knight Riders,5afd4539,MS Bisla,14,3,7,2,0,y,27280,y
71,2013 Kolkata Knight Riders,26e5cabf,MK Tiwary,10,0,10,1,0,,35565,
71,2013 Kolkata Knight Riders,d2a6c0e6,EJG Morgan,13,0,6,3,0,,24598,
71,2013 Kolkata Knight Riders,b8a55852,BB McCullum,2,0,0,,0,y,37737,
95,2013 Mumbai Indians,c03f1114,KD Karthik,19,2,12,1,0,y,30045,y
95,2013 Mumbai Indians,70d205c9,AT Rayudu,19,0,8,2,0,y,33141,
95,2013 Mumbai Indians,d2c2b2d5,SR Tendulkar,14,0,4,3,0,,35320,
95,2013 Mumbai Indians,855a210c,AP Tare,5,0,0,,0,y,333904,
111,2013 Pune Warriors,de8d3876,M Rawat,2,1,1,6,0,y,33440,y
111,2013 Pune Warriors,1c17e270,RV Uthappa,16,0,7,1,0,y,35582,
111,2013 Pune Warriors,93b4fc78,MK Pandey,7,0,6,2,0,,290630,
111,2013 Pune Warriors,30a45b23,SPD Smith,7,0,4,3,0,,267192,
136,2013 Rajasthan Royals,063b3673,DH Yagnik,11,1,6,3,0,y,36071,y
136,2013 Rajasthan Royals,a4cc73aa,SV Samson,11,0,13,1,0,y,425943,
136,2013 Rajasthan Royals,29e95537,AM Rahane,18,0,10,2,0,,277916,
155,2013 Royal Challengers Bangalore,7daedf2f,KB Arun Karthik,9,2,9,1,0,,319745,y
155,2013 Royal Challengers Bangalore,c4487b84,AB de Villiers,14,0,8,2,0,y,44936,
155,2013 Royal Challengers Bangalore,ba607b88,V Kohli,16,0,7,3,0,,253802,
155,2013 Royal Challengers Bangalore,b17e2f24,KL Rahul,4,0,2,5,0,y,422108,
169,2013 Sunrisers Hyderabad,b5da6c24,PA Patel,13,3,5,1,0,y,32242,y
169,2013 Sunrisers Hyderabad,372455c4,Q de Kock,3,1,3,4,0,y,379143,y
169,2013 Sunrisers Hyderabad,53f27a35,BB Samantray,7,0,3,2,0,,430125,
169,2013 Sunrisers Hyderabad,6b71e6cf,KC Sangakkara,9,0,3,3,0,y,50710,
23,2014 Chennai Super Kings,4a8a2e3b,MS Dhoni,15,1,3,4,0,y,28081,y
23,2014 Chennai Super Kings,3355b542,F du Plessis,14,0,13,1,0,,44828,
23,2014 Chennai Super Kings,b8a55852,BB McCullum,14,0,6,2,0,y,37737,
23,2014 Chennai Super Kings,c42aaf71,M Manhas,6,0,3,3,0,,31001,
45,2014 Delhi Daredevils,c03f1114,KD Karthik,14,2,7,1,0,y,30045,y
45,2014 Delhi Daredevils,99d63244,KM Jadhav,10,0,3,2,0,y,290716,
45,2014 Delhi Daredevils,39f01cdb,KP Pietersen,11,0,2,3,0,,19296,
45,2014 Delhi Daredevils,372455c4,Q de Kock,7,0,2,5,0,y,379143,
118,2014 Kings XI Punjab,fe11caa6,WP Saha,14,4,8,3,0,y,279810,y
118,2014 Kings XI Punjab,d67d5f00,DA Miller,16,0,14,1,0,,321777,
118,2014 Kings XI Punjab,5056011d,GJ Bailey,17,0,8,2,0,,4451,
72,2014 Kolkata Knight Riders,1c17e270,RV Uthappa,16,7,1,5,0,y,35582,y
72,2014 Kolkata Knight Riders,bb345e0b,G Gambhir,16,0,3,1,0,,28763,
72,2014 Kolkata Knight Riders,93b4fc78,MK Pandey,16,0,3,2,0,,290630,
72,2014 Kolkata Knight Riders,45eda7c8,CA Lynn,2,0,2,3,0,,326637,
72,2014 Kolkata Knight Riders,5afd4539,MS Bisla,1,0,1,4,0,y,27280,
96,2014 Mumbai Indians,30a2649b,CM Gautam,9,3,3,3,0,y,302208,y
96,2014 Mumbai Indians,855a210c,AP Tare,13,3,0,,0,y,333904,y
96,2014 Mumbai Indians,70d205c9,AT Rayudu,15,0,6,1,0,y,33141,
96,2014 Mumbai Indians,272d796e,BR Dunk,4,0,3,2,0,,388678,
137,2014 Rajasthan Royals,a4cc73aa,SV Samson,13,2,5,3,0,y,425943,y
137,2014 Rajasthan Royals,30a45b23,SPD Smith,10,0,9,1,0,,267192,
137,2014 Rajasthan Royals,29e95537,AM Rahane,12,0,6,2,0,,277916,
137,2014 Rajasthan Royals,063b3673,DH Yagnik,1,0,1,7,0,y,36071,
156,2014 Royal Challengers Bangalore,b5da6c24,PA Patel,12,1,11,1,0,y,32242,y
156,2014 Royal Challengers Bangalore,4e04666c,YV Takawale,5,1,2,5,0,y,35357,y
156,2014 Royal Challengers Bangalore,c4487b84,AB de Villiers,13,0,7,2,0,y,44936,
156,2014 Royal Challengers Bangalore,ba607b88,V Kohli,14,0,7,3,0,,253802,
170,2014 Sunrisers Hyderabad,890946a0,NV Ojha,10,1,6,3,0,y,32102,y
170,2014 Sunrisers Hyderabad,dcce6f09,DA Warner,14,0,8,1,0,,219889,
170,2014 Sunrisers Hyderabad,b8d490fd,AJ Finch,13,0,6,2,0,,5334,
170,2014 Sunrisers Hyderabad,b17e2f24,KL Rahul,10,0,4,5,0,y,422108,
24,2015 Chennai Super Kings,4a8a2e3b,MS Dhoni,17,3,8,2,0,y,28081,y
24,2015 Chennai Super Kings,3355b542,F du Plessis,16,0,8,1,0,,44828,
24,2015 Chennai Super Kings,b8a55852,BB McCullum,14,0,2,3,0,y,37737,
46,2015 Delhi Daredevils,99d63244,KM Jadhav,14,2,6,1,0,y,290716,y
46,2015 Delhi Daredevils,30a2649b,CM Gautam,1,1,0,,0,y,302208,y
46,2015 Delhi Daredevils,709b0bac,SS Tiwary,6,0,5,2,0,,35390,
46,2015 Delhi Daredevils,00ea847a,MA Agarwal,10,0,3,3,0,,398438,
46,2015 Delhi Daredevils,372455c4,Q de Kock,3,0,0,,0,y,379143,
119,2015 Kings XI Punjab,fe11caa6,WP Saha,14,3,11,1,0,y,279810,y
119,2015 Kings XI Punjab,d67d5f00,DA Miller,13,0,7,2,0,,321777,
119,2015 Kings XI Punjab,c03e2850,M Vohra,7,0,2,3,0,,532856,
119,2015 Kings XI Punjab,6eb146d2,Gurkeerat Singh,5,0,1,,56,y,537124,
73,2015 Kolkata Knight Riders,1c17e270,RV Uthappa,13,5,7,1,0,y,35582,y
73,2015 Kolkata Knight Riders,271f83cd,SA Yadav,13,0,7,2,0,,446507,
73,2015 Kolkata Knight Riders,93b4fc78,MK Pandey,12,0,5,3,0,,290630,
